R,yc
4,3.2528
4,3.2346
4,3.1466
4,3.3353
4,3.1466
4,3.1441
4,3.1466
4,3.1517
4,3.1341
4,3.1441
4,3.1466
4,3.041
8,3.0532
8,3.1391
8,3.3407
8,3.7456
8,4.12
8,4.4215
8,4.8029
8,5.0108
8,5.1256
8,5.3824
4,5.3995
4,5.605
4,5.6184
4,5.4846
4,5.3014
4,5.2158
4,5.1174
4,4.9126
4,4.72
4,4.7313
8,4.618
8,4.4285
8,4.6032
8,4.7123
8,5.007
8,5.2283
8,5.3867
8,5.5022
8,5.6004
8,5.6094
4,5.8905
4,5.8015
4,5.8811
4,5.7831
4,5.6094
4,5.4083
4,5.3099
4,5.1174
4,5.011
4,5.0149
8,4.8144
8,4.6106
8,4.7275
8,4.9087
8,5.1051
8,5.404
8,5.4169
8,5.5871
8,5.5959
8,5.8062
4,5.8858
4,5.8952
4,5.8952
4,5.7922
4,5.6231
4,5.5021
4,5.3953
4,5.2158
4,5.011
4,4.9126
8,4.9167
8,4.7162
8,4.7161
8,4.9088
8,5.2074
8,5.3184
8,5.4934
8,5.5915
8,5.6897
8,5.8015
4,5.7924
4,5.9982
4,5.8999
4,5.8015
4,5.6851
4,5.5022
4,5.3141
4,5.2158
4,5.023
4,5.0271
4,4.799
4,4.7237
4,4.6178
4,4.5161
4,4.4285
4,4.2316
4,4.1267
4,4.1266
4,4.0316
4,3.8289
8,3.835
8,3.7396
8,3.8227
8,4.2282
8,4.6143
8,4.7124
8,5.1092
8,5.1092
8,5.3995
8,5.5959
4,5.511
4,5.7831
4,5.6987
4,5.5959
4,5.4213
4,5.404
4,5.1256
4,5.0928
4,4.8145
4,4.9126
4,4.618
4,4.5232
4,4.4214
4,4.4214
4,4.2351
4,4.1167
4,4.0447
4,3.9206
4,3.9333
4,3.8289
4,3.6412
4,3.6324
4,3.6355
4,3.4415
4,3.5343
4,3.4389
4,3.436
4,3.2529
4,3.2372
4,3.3326
4,3.258
4,3.2425
4,3.1415
4,3.2321
4,3.2449
4,3.1492
4,3.1416
4,3.1441
4,3.1466
4,3.144
4,3.0532
4,3.0386
4,3.1517
4,3.1341
4,3.0482
4,3.1492
4,3.1391
4,3.0459
4,3.1492
4,3.0459
4,3.0458
4,3.1391
4,3.0508
4,3.1441
4,3.0433
4,3.1416
4,3.0483
4,3.0508
4,3.1416
4,3.0458
4,3.1416
4,3.0435
4,3.1391
4,2.9546
4,3.1441
4,3.0532
4,3.1391
4,3.1416
4,3.0458
4,3.0459
8,3.0483
8,3.1416
8,3.2372
8,3.7396
8,4.2182
8,4.4178
8,4.7162
8,4.999
8,5.22
8,5.2972
8,5.489
8,5.6139
8,5.6941
8,5.8016
8,5.8905
8,6.0079
8,6.0722
8,5.9984
8,6.1849
8,6.0918
4,6.1899
4,6.195
4,6.0965
4,6.0917
4,5.8952
4,5.7125
4,5.5915
4,5.4082
4,5.417
4,5.1092
8,5.1174
8,4.9008
8,4.9206
8,5.2116
8,5.2887
8,5.5022
8,5.5959
8,5.6139
8,5.8203
8,5.8905
4,5.8905
4,5.9886
4,6.0917
4,5.6941
4,5.8063
4,5.5066
4,5.4126
4,5.1991
4,5.2116
4,5.0108
4,4.83
4,4.7162
4,4.7049
4,4.5231
4,4.4215
4,4.3265
4,4.2217
4,4.1299
4,3.9301
4,3.9396
4,3.9239
4,3.7277
4,3.7424
4,3.5373
4,3.6381
4,3.4363
4,3.5398
4,3.4388
4,3.3408
4,3.3459
4,3.2397
4,3.3379
4,3.2475
4,3.1391
4,3.2423
4,3.1466
4,3.2346
4,3.1441
4,3.2423
4,3.1466
4,3.1466
4,3.0435
4,3.1466
4,3.0532
4,3.1391
4,3.1391
4,3.0459
4,3.1517
4,3.1391
4,3.1492
8,3.0456
8,3.1366
8,3.2475
8,3.8227
8,4.0284
8,4.5125
8,4.8144
8,4.9166
8,5.1951
8,5.3185
8,5.5155
8,5.5692
8,5.8155
8,5.7876
8,5.8953
8,5.8951
8,5.9936
8,6.0867
8,6.0918
8,6.1851
8,6.1013
8,6.2832
8,6.1999
8,6.2882
8,6.2832
8,6.2832
8,6.2832
8,6.2983
8,6.2882
8,6.2882
4,6.3865
4,6.2983
4,6.2933
4,6.1799
4,5.9001
4,5.8998
4,5.6895
4,5.6097
4,5.3013
4,5.4126
4,5.1091
4,5.0111
4,4.9126
4,4.72
4,4.72
4,4.5234
4,4.4177
4,4.3233
4,4.2316
4,4.0251
8,4.0348
8,3.9364
8,4.12
8,4.3337
8,4.6974
8,4.8144
8,5.105
8,5.3058
8,5.417
8,5.5959
4,5.6941
4,5.783
4,5.7216
4,5.5781
4,5.417
4,5.4126
4,5.2034
4,5.0149
4,5.0189
4,4.8067
4,4.72
4,4.6217
4,4.4144
4,4.3265
4,4.3302
4,4.1399
4,4.1167
4,3.927
4,3.8381
4,3.8258
4,3.7424
4,3.6355
4,3.537
4,3.5401
4,3.5427
4,3.4335
4,3.4333
4,3.2449
4,3.3406
4,3.3459
8,3.24
8,3.2475
8,3.3352
8,3.9301
8,4.2147
8,4.5234
8,4.9008
8,4.9244
8,5.2973
8,5.3953
8,5.5022
8,5.7124
8,5.6049
8,5.8904
8,5.9048
8,5.9694
8,6.0967
8,6.008
8,6.1749
8,6.082
4,6.2099
4,6.1801
4,6.1997
4,5.9936
4,5.8951
4,5.6004
4,5.708
4,5.3098
4,5.4083
4,5.1011
8,5.105
8,4.9205
8,4.9166
8,5.1909
8,5.3143
8,5.4846
8,5.5066
8,5.717
8,5.7922
8,5.881
8,5.9095
8,5.9837
8,6.0918
8,6.0032
8,6.19
8,6.1358
8,6.1653
8,6.2832
8,6.2782
8,6.19
8,6.3084
8,6.2732
8,6.283
8,6.2983
8,6.3916
8,6.2882
8,6.2882
8,6.3813
8,6.3034
8,6.3712
4,6.3762
4,6.2933
4,6.3916
4,6.0032
4,6.0869
4,5.8062
4,5.7032
4,5.6049
4,5.417
4,5.3015
8,5.2073
8,5.0151
8,5.0108
8,5.3058
8,5.3013
8,5.489
8,5.717
8,5.6989
8,5.783
8,5.9046
4,6.0032
4,6.0721
4,5.9936
4,5.8015
4,5.708
4,5.5108
4,5.3997
4,5.404
4,5.1175
4,5.0108
8,4.9126
8,4.8067
8,4.7237
8,5.0028
8,5.2034
8,5.417
8,5.5066
8,5.5915
8,5.7876
8,5.8953
8,5.8857
8,5.9046
8,5.9888
8,6.19
8,6.0223
8,6.1703
8,6.19
8,6.2983
8,6.0918
8,6.293
8,6.2882
8,6.2933
8,6.2832
8,6.3034
8,6.2983
8,6.464
8,6.2983
8,6.2782
8,6.3916
8,6.2882
4,6.3916
4,6.2933
4,6.2983
4,6.195
4,5.9046
4,5.8765
4,5.7922
4,5.511
4,5.3997
4,5.3183
8,5.1052
8,5.1132
8,5.0111
8,5.2115
8,5.3997
8,5.5022
8,5.6004
8,5.8015
8,5.685
8,5.919
4,5.8904
4,6.082
4,6.008
4,5.8904
4,5.6094
4,5.4978
4,5.404
4,5.4083
4,5.1132
4,5.0028
8,4.9247
8,4.7124
8,4.8105
8,5.0149
8,5.2073
8,5.3997
8,5.511
8,5.5915
8,5.7879
8,5.7876
4,5.8951
4,5.9984
4,5.9046
4,5.7971
4,5.6094
4,5.5243
4,5.3865
4,5.2034
4,5.105
4,5.0312
4,4.8029
4,4.8183
4,4.6217
4,4.4319
4,4.4215
4,4.2214
4,4.2284
4,4.0316
4,4.1167
4,3.835
4,3.844
4,3.7248
4,3.6384
4,3.6411
4,3.526
4,3.5484
4,3.4363
4,3.436
4,3.3459
4,3.3352
8,3.2449
8,3.2452
8,3.436
8,3.9239
8,4.2181
8,4.5197
8,4.9087
8,5.0068
8,5.2075
8,5.5022
4,5.5022
4,5.5959
4,5.6941
4,5.5022
4,5.4126
4,5.3055
4,5.1175
4,4.9205
4,4.9205
4,4.7086
8,4.6143
8,4.5197
8,4.6217
8,4.8067
8,5.0068
8,5.2201
8,5.3994
8,5.6004
8,5.6094
8,5.7832
4,5.7738
4,5.9048
4,5.8951
4,5.7078
